Argument ID	Conclusion Farsi	Stance Farsi	Premise Farsi	Conclusion English	Stance English	Premise English	Source	Method
F10374	ایثار یک ارزش عالی انسانی است.	به نفع	نيكوترين بزرگواري ايثار است	selflessness is a great human value	in favor of	The best honor is selflessness	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10375	ایثار یک ارزش عالی انسانی است.	به نفع	با كمند ايثار ازادگان به بردگي در ايند	selflessness is a great human value	in favor of	With the noose of selflessness, the free men are enslaved	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10376	ایثار یک ارزش عالی انسانی است.	به نفع	به وسيله ايثار ادمي شايسته نام بزرگواري است	selflessness is a great human value	in favor of	With the name of selflessness a human deserves the name of generosity	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10377	ایثار یک ارزش عالی انسانی است.	به نفع	بهترين صفات انساني ايثار است	selflessness is a great human value	in favor of	The best human trait is selflessness	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10378	ایثار یک ارزش عالی انسانی است.	به نفع	براي بزرگواري انسان ايثار بس است	selflessness is a great human value	in favor of	selflessness is enough for human dignity	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10379	ایثار یک ارزش عالی انسانی است.	به نفع	كسي كه ديگران را بر خود برگزيند به كمال جوانمردي رسيده است	selflessness is a great human value	in favor of	She who chooses others over herself has reached the perfection of chivalry	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10380	ایثار یک ارزش عالی انسانی است.	به نفع	كسي كه ديگري را بر خود مقدم دارد شايسته نام فضيلت و برتري است	selflessness is a great human value	in favor of	The one who puts others before herself deserves the name of virtue and superiority	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10381	ایثار یک ارزش عالی انسانی است.	به نفع	كسي كه در مال خود بر تو ايثار كند تو را بر خويش برگزيده و شايسته نام ايثارگري است	selflessness is a great human value	in favor of	A person who sacrifices her property for you has chosen you and deserves the name of selflessness.	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10382	ایثار یک ارزش عالی انسانی است.	به نفع	از برترين انتخابها ان است كه ادمي خود را به زيور ايثار بيارايد	selflessness is a great human value	in favor of	One of the best choices is to bring one's self to selflessness	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10383	ایثار یک ارزش عالی انسانی است.	به نفع	از نيكوترين احسانها ايثار است	selflessness is a great human value	in favor of	One of the best acts of kindness is selflessness	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10384	ایثار یک ارزش عالی انسانی است.	به نفع	والاترين مرتبه‏ هاي كرم و بزرگواري ايثار است	selflessness is a great human value	in favor of	The highest level of generosity is selflessness	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10385	ایثار یک ارزش عالی انسانی است.	به نفع	بهترين مردم كسي است كه در تنگدستي ايثارگر و پر شكيب باشد	selflessness is a great human value	in favor of	The best people are those who are selfless and patient in times of need	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10386	باید از تجربه‌ها استفاده کنیم	به نفع	پيروزي به دور انديشي است و دور انديشي به استفاده از تجربه‏ هاست	We should use experiences	in favor of	Victory is foresight, and foresight is the use of experience	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10387	باید از تجربه‌ها استفاده کنیم	به نفع	تجربه ‏ها پايان نپذيرد و پيوسته انسان بايد در حال تجربه اموزي باشد	We should use experiences	in favor of	Experiences do not end and a person should continuously experience learning	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10388	باید از تجربه‌ها استفاده کنیم	به نفع	روزها و روزگارها تجربه ‏ها را سود دهد و هر حادثه‏اي بر تجربه ادمي بيفزايد	We should use experiences	in favor of	Time and days give benefits to experiences and every incident adds to a person's experience	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10389	باید از تجربه‌ها استفاده کنیم	به نفع	دور انديشي در نگهداري و ياد داشت تجربه است	We should use experiences	in favor of	Foresight is in keeping and remembering experience	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10390	باید از تجربه‌ها استفاده کنیم	به نفع	تجربه ‏ها هر كدام دانشي بهره‏مند است	We should use experiences	in favor of	Experiences are useful knowledge	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10391	باید از تجربه‌ها استفاده کنیم	به نفع	عاقل و خردمند كسي است كه تجربه‏ ها او را اندرز دهد	We should use experiences	in favor of	Wise and intelligent is the one who is taught by experiences	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10392	باید از تجربه‌ها استفاده کنیم	به نفع	تجربه ازموده يا تجربه كننده از طبيب نا ازموده داناتر است	We should use experiences	in favor of	An experienced person is wiser than an inexpert doctor	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10393	باید اهل یادگیری و دانش باشیم	به نفع	تجربه ‏ها پايان نپذيرد و شخص عاقل از انها بر دانش خود بيفزايد	we should be people of learning and knowledge	in favor of	Experiences never end and a wise person increases her knowledge of them	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10394	باید از تجربه‌ها استفاده کنیم	به نفع	دور انديش كسي است كه تجربه‏ها او را كار كشته كرده و سختيهاي روزگار او را پاك نموده است	We should use experiences	in favor of	The for-sightedness of a person whose experiences have made her skillful and the hardships of her life have made her pure	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10395	باید از تجربه‌ها استفاده کنیم	به نفع	داراترين مردم در درستي راي و انديشه مردمان با تجربه هستند	We should use experiences	in favor of	The wealthiest people are experienced people with true opinions and thoughts	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10396	باید از تجربه‌ها استفاده کنیم	به نفع	به راستي خردمند كسي است كه تجربه‏ها اندرزش داده باشند	We should use experiences	in favor of	Truly wise is the one who is taught by experiences	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10397	باید از تجربه‌ها استفاده کنیم	به نفع	ميوه و ثمره تجربه در كارها انتخاب نيك است	We should use experiences	in favor of	The fruit of experience in work is a good choice	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10398	باید از تجربه‌ها استفاده کنیم	به نفع	حفظ و نگهداشتن تجربه‏ها سر عقل و خرد و قوام و اساس ان است	We should use experiences	in favor of	Keeping experiences is the basis of wisdom and consistency	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10399	باید از تجربه‌ها استفاده کنیم	به نفع	بهترين چيزي كه تجربه كني ان است كه تو را پند دهد	We should use experiences	in favor of	The best thing to experience is that someone or something that advises you	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10400	باید از تجربه‌ها استفاده کنیم	به نفع	انديشه و راي مرد به مقدار تجربه او است	We should use experiences	in favor of	A man's opinion and thought is equal to his experience	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10401	باید از تجربه‌ها استفاده کنیم	به نفع	در هر تجربه‏اي پندي نهفته است	We should use experiences	in favor of	There is a lesson in every experience	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10402	باید از تجربه‌ها استفاده کنیم	به نفع	براي اندرز خردمندان همان تجربه‏هايي كه اموخته‏اند كافي است	We should use experiences	in favor of	For the advice of the wise, the experiences they have learned are enough	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10403	باید از تجربه‌ها استفاده کنیم	به نفع	براي ادب انسان تجربه‏ ها كافي است	We should use experiences	in favor of	Experiences are enough for human politeness	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10404	باید اهل یادگیری و دانش باشیم	به نفع	كسي كه تجربه‏ اش كم باشد فريب ميخورد	we should be people of learning and knowledge	in favor of	A person who has little experience will be deceived	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10405	باید اهل یادگیری و دانش باشیم	به نفع	كسي كه تجربه ‏اش بسيار باشد كمتر گول ميخورد	we should be people of learning and knowledge	in favor of	A person who has a lot of experience is less fooled	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10406	باید از تجربه‌ها استفاده کنیم	به نفع	كسي كه تجربه را استوار سازد و به كار بندد از هلاكت و نابودي سالم ماند	We should use experiences	in favor of	The one who consolidates the experience and uses it is safe from destruction	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10407	باید از تجربه‌ها استفاده کنیم	به نفع	كسي كه تجربه اموزد بر دور انديشي خود بيفزايد	We should use experiences	in favor of	The one who learns from experience increases her thinking	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10408	باید از تجربه‌ها استفاده کنیم	به نفع	كسي كه خود را از تجربه‏ها بينياز بداند سرانجام كارها را نبيند	We should use experiences	in favor of	A person who considers herself needless of experiences will not see things in the end	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10409	باید از تجربه‌ها استفاده کنیم	به نفع	كسي كه تجربه‏ها را نگاه دارد و به كار بندد كارهايش به درستي و صواب انجامد	We should use experiences	in favor of	The one who keeps the experiences and uses them, her work will be done correctly	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10410	باید از تجربه‌ها استفاده کنیم	به نفع	نگهداري و حفظ تجربه و به كار بردن ان از دور انديشي است	We should use experiences	in favor of	Maintaining and preserving experience and using it is far-sighted	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10411	باید امانت‌دار باشیم	به نفع	خوب امانتداري سر فصل اعتقادات انسان است	We must be trustworthy	in favor of	Well, trustworthiness is at the top of human beliefs	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10412	باید امانت‌دار باشیم	به نفع	بدترين مردم كسي است كه عقيده‏اي به امانتداري ندارد و از خيانت پرهيز و پروايي ندارد	We must be trustworthy	in favor of	The worst people are those who do not believe in trustworthiness and do not care about betrayal	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10413	باید امانت‌دار باشیم	به نفع	هر گاه امانت در كسي قوي شد راستگويي در او زياد گردد	We must be trustworthy	in favor of	Whenever trust is strong in someone, honesty will increase in her	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10414	باید امانت‌دار باشیم	به نفع	امانت انسان را به راستي ميكشاند	We must be trustworthy	in favor of	trust leads a person to the truth	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10415	باید امانت‌دار باشیم	به نفع	امانتداري فضيلتي است براي كسي كه ان را بپردازد	We must be trustworthy	in favor of	Trustworthiness is a virtue for someone who pays it	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10416	باید امانت‌دار باشیم	به نفع	امانت داري رستگاري و سعادتي است براي ان كس كه رعايت كند	We must be trustworthy	in favor of	Trustworthiness is salvation and happiness for those who observe it	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10417	باید امانت‌دار باشیم	به نفع	امانتداري ايمان و خوشرويي و گشاده‏رويي احسان است	We must be trustworthy	in favor of	Trustworthiness is faith and cheerfulness and openness is kindness	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10418	باید امانت‌دار باشیم	به نفع	برترين ايمانها امانتداري است	We must be trustworthy	in favor of	The best faith is trustworthiness	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10419	باید امانت‌دار باشیم	به نفع	اساس ايمان امانتداري است	We must be trustworthy	in favor of	The basis of faith is trustworthiness	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10420	باید امانت‌دار باشیم	به نفع	كسي كه امانت ندارد ايمان ندارد	We must be trustworthy	in favor of	She who does not trustworthy does not have faith	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10421	باید امانت‌دار باشیم	به نفع	كسي كه درون و اشكارش يكسان باشد و عمل او با گفتارش موافقت داشته باشد او است كسي كه امانت الهي را پرداخته و عدالتش محقق و ثابت گشته است	We must be trustworthy	in favor of	The one whose inner and outward appearance are the same and whose actions agree with her words is the one who has paid the divine trust and her justice has been fulfilled and established.	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10422	باید اهل یادگیری و دانش باشیم	به نفع	ناداني وبال و گرفتاري است	we should be people of learning and knowledge	in favor of	Ignorance is a plague and a trap	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10423	باید اهل یادگیری و دانش باشیم	به نفع	مردم انچه را نميدانند با ان دشمنند	we should be people of learning and knowledge	in favor of	People are enemies of what they do not know	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10424	باید اهل یادگیری و دانش باشیم	به نفع	ادمي دشمن چيزي است كه ان را نميداند	we should be people of learning and knowledge	in favor of	A person is enemy with something she does not know	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10425	باید اهل یادگیری و دانش باشیم	به نفع	ناداني نابود كننده‏ترين دشمن است	we should be people of learning and knowledge	in favor of	Ignorance is the most destructive enemy	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10426	باید اهل یادگیری و دانش باشیم	به نفع	ناداني گامها را بلغزاند	we should be people of learning and knowledge	in favor of	Ignorance slipped the steps	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10427	باید اهل یادگیری و دانش باشیم	به نفع	ناداني بيماري و درماندگي است	we should be people of learning and knowledge	in favor of	Ignorance is a disease and helplessness	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10428	باید اهل یادگیری و دانش باشیم	به نفع	ناداني كانون شر و بدي است	we should be people of learning and knowledge	in favor of	Ignorance is the center of evil	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10429	باید اهل یادگیری و دانش باشیم	به نفع	ناداني نابودي به دنبال دارد	we should be people of learning and knowledge	in favor of	Ignorance leads to destruction	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10430	باید اهل یادگیری و دانش باشیم	به نفع	ناداني ريشه و اساس هر بدي است	we should be people of learning and knowledge	in favor of	Ignorance is the root and foundation of every evil	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10431	باید اهل یادگیری و دانش باشیم	به نفع	ناداني بدترين بيماريهاست	we should be people of learning and knowledge	in favor of	Ignorance is the worst disease	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10432	باید اهل یادگیری و دانش باشیم	به نفع	ناداني معاد انسان را تباه سازد	we should be people of learning and knowledge	in favor of	Ignorance will destroy the resurrection of a man	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10433	باید اهل یادگیری و دانش باشیم	به نفع	ناداني موجب فساد هر كاري است	we should be people of learning and knowledge	in favor of	Ignorance causes the corruption of everything	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10434	باید اهل یادگیری و دانش باشیم	به نفع	نادان سرگردان است	we should be people of learning and knowledge	in favor of	The ignorant is wandering	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10435	باید اهل یادگیری و دانش باشیم	به نفع	نادان از راهي كه ميرود باز نايستد	we should be people of learning and knowledge	in favor of	A fool does not stop from the way she is going	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10436	باید اهل یادگیری و دانش باشیم	به نفع	نادان از روي جهالتي كه دارد خود را بلند گرداند و همين سبب شود كه پست گردد	we should be people of learning and knowledge	in favor of	An ignorant person exalts herself because of her ignorance, and that is the reason why she is low	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10437	باید اهل یادگیری و دانش باشیم	به نفع	نادان كسي است كه قدر خود را نداند	we should be people of learning and knowledge	in favor of	An ignorant is someone who does not appreciate herself	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10438	باید اهل یادگیری و دانش باشیم	به نفع	نادان مرده است اگر چه به صورت زنده باشد	we should be people of learning and knowledge	in favor of	The ignorant is dead even though he is alive	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10439	باید اهل یادگیری و دانش باشیم	به نفع	جاهل درستي نظر و انديشه‏اش همانند لغزش عالم و داناست	we should be people of learning and knowledge	in favor of	Ignorant, the correctness of her opinion and thought is like the slip of a scholar	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10440	باید اهل یادگیری و دانش باشیم	به نفع	نادان كسي است كه مطالب دنيا فريبش داده است	we should be people of learning and knowledge	in favor of	A fool is someone who has been deceived by worldly things	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10441	باید اهل یادگیری و دانش باشیم	به نفع	نادان كسي است كه در كار خود نادان و سرگردان است	we should be people of learning and knowledge	in favor of	A fool is someone who is ignorant and lost in her work	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10442	باید اهل یادگیری و دانش باشیم	به نفع	نادان كسي است كه فريفته هوا و هوس و فريبهاي ان گشته است	we should be people of learning and knowledge	in favor of	A fool is someone who has been seduced by whims and fancies	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10443	باید اهل یادگیری و دانش باشیم	به نفع	حرص و از و بخل نتيجه و محصول ناداني است	we should be people of learning and knowledge	in favor of	Greed and avarice are the result and product of ignorance	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10444	باید اهل یادگیری و دانش باشیم	به نفع	ناداني و بخل بدي و زيان است	we should be people of learning and knowledge	in favor of	Ignorance and avarice are bad and harmful	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10445	باید اهل یادگیری و دانش باشیم	به نفع	نادان ديدار نشود يا ديده نشود مگر اين كه يا كار را از حد بگذراند و يا به حد خود نرساند	we should be people of learning and knowledge	in favor of	An ignorant person should not be seen or seen unless she either exceeds the limit or does not reach her limit	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10446	باید اهل یادگیری و دانش باشیم	به نفع	نادان وحشت كند از انچه حكيم و فرزانه بدان انس گيرد	we should be people of learning and knowledge	in favor of	The ignorant should be afraid of what the wise do like	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10447	باید اهل یادگیری و دانش باشیم	به نفع	جاهل عالم را نميشناسد زيرا او پيش از ان عالم نبوده و اين دوره را نگذرانده ولي عالم به عكس او است	we should be people of learning and knowledge	in favor of	An ignorant person does not know the wise because she was not wise before that and did not pass this period, but the wise is vice versa.	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10448	باید اهل یادگیری و دانش باشیم	به نفع	نادان تقصير و خطاي خود را نشناسد و نصيحت خير خواه خود را نپذيرد	we should be people of learning and knowledge	in favor of	A fool does not recognize her fault and does not accept the advice of her well-wishers	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10449	باید اهل یادگیری و دانش باشیم	به نفع	ناداني مركب چموشي است كه هر كس سوار ان شود بلغزد و هر كس همراهش رود گمراه شود	we should be people of learning and knowledge	in favor of	Ignorance is a slippery slope that whoever rides it will slip and whoever goes with it will go astray	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10450	باید اهل یادگیری و دانش باشیم	به نفع	نادان بودن به فضيلتها و كمالات از زشت‏ترين پستيها و فرومايگيهاست	we should be people of learning and knowledge	in favor of	Being ignorant of virtues and perfections is one of the most ugly and lowly things	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10451	باید اهل یادگیری و دانش باشیم	به نفع	نادان صخره و سنگ سختي است كه ابي از ان نجوشد و درختي است كه چوب ان سبز نشود و شوره‏زاري است كه گياهي در ان نرويد	we should be people of learning and knowledge	in favor of	Ignorance is like a rock and a hard stone which no water can not pass, and a tree whose wood does not grow, and a salt marsh where no plants grow.	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10452	باید اهل یادگیری و دانش باشیم	به نفع	نادان مرده‏اي در ميان زندگان است	we should be people of learning and knowledge	in favor of	A fool is a dead man among the living	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10453	باید اهل یادگیری و دانش باشیم	به نفع	از نادان نافرماني كن تا سالم بماني	we should be people of learning and knowledge	in favor of	Disobey the ignorant to stay healthy	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10454	باید اهل یادگیری و دانش باشیم	به نفع	كسي كه از روي جهل و ناداني كار كند همچون كسي است كه به بيراهه ميرود هر چه در رفتن بيشتر تلاش كند از هدف دورتر شود	we should be people of learning and knowledge	in favor of	A person who works out of ignorance is like a person who goes astray, the more he tries to go, the further away from his goal	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10455	باید اهل یادگیری و دانش باشیم	به نفع	ناداني در انسان از خوره در بدن زيانبارتر است	we should be people of learning and knowledge	in favor of	Ignorance in a person is more harmful than leprosy in the body	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10456	باید اهل یادگیری و دانش باشیم	به نفع	ناداني زندگان را بميراند و بدبختي ابدي ارد	we should be people of learning and knowledge	in favor of	Ignorance kills the living and causes eternal misery	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10457	باید اهل یادگیری و دانش باشیم	به نفع	ناداني گام را بلغزاند و پشيماني به بار ارد	we should be people of learning and knowledge	in favor of	Ignorance results in making mistakes and, subsequently, regret.	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10458	باید اهل یادگیری و دانش باشیم	به نفع	بزرگترين مصيبتها ناداني است	we should be people of learning and knowledge	in favor of	The greatest misfortune is ignorance.	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10459	باید اهل یادگیری و دانش باشیم	به نفع	بزرگترين نادانيها ان است كه انسان نسبت به وضع خويش نادان باشد	we should be people of learning and knowledge	in favor of	The most incredible ignorance is that a person is ignorant of his/her own situation	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10460	باید اهل یادگیری و دانش باشیم	به نفع	بدترين بيماريها ناداني است	we should be people of learning and knowledge	in favor of	Ignorance is the worst illness.	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10461	باید اهل یادگیری و دانش باشیم	به نفع	بدبخت‏ترين مردم شخص نادان است	we should be people of learning and knowledge	in favor of	The most unfortunate individuals are the ignorant ones.	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10462	باید اهل یادگیری و دانش باشیم	به نفع	اسان‏ترين و هموارترين چيز بر انسان سرزنش جاهلان است	we should be people of learning and knowledge	in favor of	The easiest is to blame the ignorant.	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10463	باید اهل یادگیری و دانش باشیم	به نفع	به راستي كه شخص جاهل از روي ناداني خود در صدد گمراه كردن ديگران است و به خاطر هوا و هوس خود در حال فريفتن مردم است سخنش بيماري اورد و كارش نكوهيده است	we should be people of learning and knowledge	in favor of	Truly, an ignorant person is trying to mislead others due to her ignorance and is deceiving people because of her whims and fancies.	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10464	باید اهل یادگیری و دانش باشیم	به نفع	به وسيله ناداني است كه هر شري بر پا شود	we should be people of learning and knowledge	in favor of	Every evil is caused by ignorance	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10465	باید اهل یادگیری و دانش باشیم	به نفع	دارايي نادان در مال و ارزوي او است	we should be people of learning and knowledge	in favor of	The wealth of the ignorant is in her wealth and desire	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10466	باید اهل یادگیری و دانش باشیم	به نفع	راي و انديشه نادان به هلاكت اندازد	we should be people of learning and knowledge	in favor of	The opinion and thoughts of the ignorant destroy	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10467	باید اهل یادگیری و دانش باشیم	به نفع	فزوني جهل ادمي را به نابودي كشاند	we should be people of learning and knowledge	in favor of	The increase of ignorance led to the destruction of a person	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10468	باید اهل یادگیری و دانش باشیم	به نفع	بدترين مصيبتها ناداني است	we should be people of learning and knowledge	in favor of	The worst misery is ignorance	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10469	باید اهل یادگیری و دانش باشیم	به نفع	ناداني براي پستي انسان كافي است	we should be people of learning and knowledge	in favor of	Ignorance is enough for a person's depravity	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10470	باید اهل یادگیری و دانش باشیم	به نفع	خطا و لغزش بسيار از نادانيهاي بسيار خبر ميدهد	we should be people of learning and knowledge	in favor of	A lot of mistakes and slips indicate a lot of ignorance	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10471	باید اهل یادگیری و دانش باشیم	به نفع	كسي كه نادان شد لغزشش بسيار شود	we should be people of learning and knowledge	in favor of	A person who is ignorant will slip a lot	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10472	باید اهل یادگیری و دانش باشیم	به نفع	كسي كه ناداني كند واگذاشته شود و مردم او را واگذارند	we should be people of learning and knowledge	in favor of	A person who is ignorant should be abandoned and people will abandon her	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10473	باید اهل یادگیری و دانش باشیم	به نفع	از سخت‏ترين مصيبتها چيره شدن ناداني است.	we should be people of learning and knowledge	in favor of	One of the hardest misery is being overcome by ignorance	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10474	باید اهل یادگیری و دانش باشیم	به نفع	چه بيشرم است انسان نادان	we should be people of learning and knowledge	in favor of	ignorant person is shameless	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10475	باید اهل یادگیری و دانش باشیم	به نفع	كسي مانند نادانان به دشمني دانشمندان بر نخواسته است	we should be people of learning and knowledge	in favor of	No one has enmity with scientists like the ignorant	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10476	باید اهل یادگیری و دانش باشیم	به نفع	اي مردم به نادانهاي خود تكيه نكنيد و اسير هواهاي خويش نشويد كه هر كسي در چنين جايگاهي در ايد بر لب پرتگاه قرار گيرد	we should be people of learning and knowledge	in favor of	O people, don't rely on your ignorance, and don't be captured by your whims so that everyone in such a position will be on the edge of the abyss.	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10477	باید اهل یادگیری و دانش باشیم	به نفع	واي بر كسي كه در ناداني خود فرو رفته و خوشا به حال كسي كه خرد ورزي كرده و به راه راست در امده است	we should be people of learning and knowledge	in favor of	Woe to the one who is immersed in her ignorance, and blessed is the one who has cultivated wisdom and entered the right path.	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10478	باید اهل یادگیری و دانش باشیم	به نفع	فقر و نيازي همچون جهل و ناداني نيست	we should be people of learning and knowledge	in favor of	there is no poverty and need as same as ignorance	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10479	باید اهل یادگیری و دانش باشیم	به نفع	هيچ طريقه و مذهبي با ناداني پاكيزه و پاك نشود	we should be people of learning and knowledge	in favor of	No religious method can be purified by ignorance	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10480	باید اهل یادگیری و دانش باشیم	به نفع	جاهل و نادان توانگري ندارد	we should be people of learning and knowledge	in favor of	Ignorant people have no capability	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10481	باید اهل یادگیری و دانش باشیم	به نفع	مصيبتي سخت‏تر از ناداني نيست	we should be people of learning and knowledge	in favor of	There is no calamity more difficult than ignorance	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10482	باید اهل یادگیری و دانش باشیم	به نفع	نياز و فقري سخت‏تر از ناداني نيست	we should be people of learning and knowledge	in favor of	there is no need and poverty harder than ignorance	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10483	باید اهل یادگیری و دانش باشیم	به نفع	هيچ پليدي زشت‏تر از ناداني نيست	we should be people of learning and knowledge	in favor of	There is no unfavorable worse than ignorance	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10484	باید اهل یادگیری و دانش باشیم	به نفع	نادان هيچگاه ديده نشود جز ان كه از حد بگذراند و هيچ گاه اعتدال ندارد	we should be people of learning and knowledge	in favor of	A fool is never be seen except when he exceeds the limit and never has moderation	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10485	باید مهربان باشیم	به نفع	كسي كه با مردم به خوبي رفتار كند انها نيز به همان گونه با او رفتار كنند	we should be kind	in favor of	Whoever treats people well, they do treat her in the same way	Ghurar al-Hikam wa Durar ak-Kalim	extracted
F10486	باید بخشنده باشیم	به نفع	بذل و بخشش ستايش مردم را به دنبال‏ دارد	we should be generous	in favor of	Generosity leads to people's praise	Ghurar al-Hikam wa Durar ak-Kalim	extracted
